id,title,genres,description,year
1414,Inside Out Reimagined 3,Animation|Family,Emotions guide a young girl's life during a big move. This is part 5 of an extended cinematic universe with new characters and plot twists.,1999
1415,The Shawshank Redemption Reimagined 8,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 1 of an extended cinematic universe with new characters and plot twists.",1977
1416,Inception Odyssey 6,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 6 of an extended cinematic universe with new characters and plot twists.,2019
1417,The Social Network Genesis 1,Drama,The founding of Facebook and its legal battles. This is part 5 of an extended cinematic universe with new characters and plot twists.,2014
1418,The Social Network Legacy 2,Drama,The founding of Facebook and its legal battles. This is part 5 of an extended cinematic universe with new characters and plot twists.,1976
1419,The Matrix Eclipse 7,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 3 of an extended cinematic universe with new characters and plot twists.,2014
1420,The Godfather Saga 2,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 8 of an extended cinematic universe with new characters and plot twists.,1997
1421,The Green Mile Eclipse 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 9 of an extended cinematic universe with new characters and plot twists.,2009
1422,The Social Network Saga 5,Drama,The founding of Facebook and its legal battles. This is part 1 of an extended cinematic universe with new characters and plot twists.,2002
1423,The Social Network Returns 9,Drama,The founding of Facebook and its legal battles. This is part 1 of an extended cinematic universe with new characters and plot twists.,1973
1424,The Godfather Chronicles 8,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 1 of an extended cinematic universe with new characters and plot twists.,1971
1425,Parasite Rebirth 6,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 9 of an extended cinematic universe with new characters and plot twists.,2002
1426,The Green Mile Eclipse 5,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 7 of an extended cinematic universe with new characters and plot twists.,2021
1427,The Social Network Saga 2,Drama,The founding of Facebook and its legal battles. This is part 7 of an extended cinematic universe with new characters and plot twists.,2002
1428,Parasite Uprising 6,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 3 of an extended cinematic universe with new characters and plot twists.,2023
1429,Inception Returns 6,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 4 of an extended cinematic universe with new characters and plot twists.,2005
1430,The Green Mile Chronicles 9,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 2 of an extended cinematic universe with new characters and plot twists.,1971
1431,Inside Out Legacy 1,Animation|Family,Emotions guide a young girl's life during a big move. This is part 9 of an extended cinematic universe with new characters and plot twists.,2006
1432,The Matrix Genesis 7,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 9 of an extended cinematic universe with new characters and plot twists.,1974
1433,The Godfather Legacy 5,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 6 of an extended cinematic universe with new characters and plot twists.,2020
1434,The Matrix Eclipse 9,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 8 of an extended cinematic universe with new characters and plot twists.,1984
1435,Inside Out Uprising 2,Animation|Family,Emotions guide a young girl's life during a big move. This is part 7 of an extended cinematic universe with new characters and plot twists.,1994
1436,The Matrix Rebirth 6,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 8 of an extended cinematic universe with new characters and plot twists.,1985
1437,The Godfather Rebirth 5,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,1972
1438,The Godfather Legacy 7,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 4 of an extended cinematic universe with new characters and plot twists.,2022
1439,The Social Network Chronicles 7,Drama,The founding of Facebook and its legal battles. This is part 9 of an extended cinematic universe with new characters and plot twists.,2011
1440,Parasite Rebirth 6,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 9 of an extended cinematic universe with new characters and plot twists.,1991
1441,The Green Mile Returns 4,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 8 of an extended cinematic universe with new characters and plot twists.,1986
1442,The Godfather Chronicles 6,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 7 of an extended cinematic universe with new characters and plot twists.,2008
1443,Interstellar Genesis 2,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 5 of an extended cinematic universe with new characters and plot twists.,1993
1444,The Shawshank Redemption Chronicles 2,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 8 of an extended cinematic universe with new characters and plot twists.",1978
1445,Inside Out Genesis 2,Animation|Family,Emotions guide a young girl's life during a big move. This is part 5 of an extended cinematic universe with new characters and plot twists.,1984
1446,La La Land Uprising 2,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 3 of an extended cinematic universe with new characters and plot twists.,1993
1447,Interstellar Returns 4,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 8 of an extended cinematic universe with new characters and plot twists.,1991
1448,The Social Network Saga 9,Drama,The founding of Facebook and its legal battles. This is part 8 of an extended cinematic universe with new characters and plot twists.,2024
1449,The Godfather Legacy 2,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 8 of an extended cinematic universe with new characters and plot twists.,1993
1450,The Shawshank Redemption Genesis 6,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 4 of an extended cinematic universe with new characters and plot twists.",1987
1451,The Social Network Saga 7,Drama,The founding of Facebook and its legal battles. This is part 6 of an extended cinematic universe with new characters and plot twists.,1993
1452,The Matrix Genesis 5,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 1 of an extended cinematic universe with new characters and plot twists.,2024
1453,The Shawshank Redemption Eclipse 7,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 7 of an extended cinematic universe with new characters and plot twists.",1977
1454,Inception Returns 1,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 4 of an extended cinematic universe with new characters and plot twists.,2007
1455,Inception Returns 7,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 5 of an extended cinematic universe with new characters and plot twists.,2010
1456,La La Land Chronicles 7,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 8 of an extended cinematic universe with new characters and plot twists.,2012
1457,Interstellar Eclipse 7,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 1 of an extended cinematic universe with new characters and plot twists.,2002
